RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11,RSSI_12,RSSI_13,RSSI_14,RSSI_15,RSSI_16,RSSI_17,RSSI_18,RSSI_19,RSSI_20,RSSI_21,RSSI_22,RSSI_23,RSSI_24,RSSI_25,RSSI_26,RSSI_27,RSSI_28,RSSI_29,Label
-65,-63,-61,-64,-65,-65,-66,-66,-66,-65,-65,-66,-65,-65,-66,-66,-64,-65,-65,-63,-65,-65,-65,-63,-64,-64,-64,-64,-64,-64,Human_Walking
-64,-64,-64,-65,-63,-65,-65,-66,-65,-65,-66,-66,-66,-65,-65,-65,-65,-65,-65,-64,-61,-65,-64,-64,-64,-64,-64,-64,-64,-64,Human_Walking
-64,-65,-65,-65,-65,-65,-66,-65,-62,-65,-65,-63,-65,-65,-64,-65,-61,-65,-65,-65,-63,-60,-60,-63,-64,-60,-63,-64,-65,-64,Human_Walking
-66,-66,-66,-66,-64,-65,-67,-66,-66,-64,-67,-67,-64,-66,-65,-67,-67,-66,-67,-67,-67,-67,-67,-66,-68,-66,-68,-67,-66,-66,Human_Walking
-66,-66,-66,-66,-67,-65,-64,-62,-66,-65,-66,-65,-67,-66,-66,-66,-65,-67,-65,-66,-65,-65,-65,-66,-66,-65,-65,-65,-66,-65,Human_Walking
-65,-66,-65,-65,-66,-66,-65,-66,-66,-65,-65,-65,-65,-66,-66,-66,-66,-65,-65,-65,-66,-66,-65,-65,-65,-65,-65,-65,-61,-64,Human_Walking
-64,-64,-64,-64,-61,-61,-64,-64,-64,-66,-65,-65,-65,-66,-65,-66,-66,-66,-65,-66,-66,-66,-61,-64,-65,-64,-64,-64,-65,-61,Human_Walking
-61,-64,-64,-62,-66,-66,-65,-66,-63,-66,-65,-65,-65,-66,-66,-66,-66,-66,-63,-66,-65,-65,-66,-66,-65,-65,-66,-65,-66,-66,Human_Walking
-66,-65,-64,-66,-62,-65,-65,-66,-65,-65,-64,-65,-66,-65,-65,-66,-61,-66,-66,-61,-66,-65,-61,-66,-65,-66,-65,-64,-64,-65,Human_Walking
-66,-66,-66,-66,-65,-65,-66,-65,-65,-65,-65,-66,-66,-65,-66,-66,-66,-66,-66,-65,-66,-65,-66,-66,-66,-63,-64,-63,-63,-63,Human_Walking
-62,-63,-62,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-62,-63,-63,-63,-62,-62,-61,-63,-61,-63,-62,-61,-62,-62,-62,-61,-63,Human_Walking
-61,-63,-63,-61,-62,-62,-62,-62,-62,-61,-61,-62,-62,-61,-61,-61,-61,-61,-61,-62,-63,-62,-63,-62,-62,-63,-62,-62,-62,-62,Human_Walking
-62,-62,-62,-62,-63,-62,-65,-66,-66,-65,-65,-65,-65,-66,-65,-65,-65,-65,-62,-62,-62,-62,-62,-62,-61,-62,-62,-62,-62,-62,Human_Walking
-62,-62,-61,-63,-62,-62,-62,-62,-61,-61,-62,-62,-62,-62,-61,-62,-61,-63,-63,-61,-61,-62,-62,-61,-62,-61,-61,-61,-61,-61,Human_Walking
-62,-63,-63,-63,-63,-62,-62,-62,-63,-62,-62,-62,-62,-62,-63,-63,-62,-63,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,Human_Walking
-63,-62,-62,-62,-62,-62,-62,-62,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,-62,-62,-62,-62,-61,-62,-62,Human_Walking
-63,-61,-62,-61,-62,-61,-62,-61,-62,-62,-61,-62,-62,-62,-62,-62,-62,-61,-62,-61,-62,-61,-63,-61,-61,-60,-61,-62,-63,-62,Human_Walking
-62,-62,-62,-62,-62,-61,-63,-62,-61,-62,-62,-62,-62,-62,-62,-62,-62,-63,-62,-62,-62,-62,-62,-61,-61,-62,-62,-62,-62,-62,Human_Walking
-62,-61,-63,-63,-62,-62,-60,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,Human_Walking
-62,-63,-62,-62,-63,-62,-62,-63,-62,-62,-62,-62,-63,-62,-62,-63,-62,-63,-62,-62,-62,-62,-61,-61,-62,-61,-61,-61,-61,-61,Human_Walking
-61,-61,-61,-61,-62,-62,-63,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-63,-62,-62,-63,-61,-62,-61,-61,-61,-62,-61,-62,-62,Human_Walking
-62,-63,-62,-62,-62,-62,-61,-61,-62,-62,-62,-62,-62,-61,-62,-62,-62,-61,-61,-61,-61,-61,-61,-61,-61,-61,-62,-61,-62,-62,Human_Walking
-63,-63,-61,-63,-63,-62,-63,-62,-62,-63,-63,-63,-63,-62,-63,-63,-62,-62,-63,-63,-62,-62,-63,-62,-63,-62,-62,-62,-63,-62,Human_Walking
-63,-63,-62,-63,-62,-63,-63,-63,-62,-63,-62,-62,-62,-62,-63,-61,-61,-61,-61,-61,-62,-62,-62,-63,-62,-62,-62,-62,-63,-62,Human_Walking
-63,-63,-63,-62,-62,-62,-63,-63,-62,-62,-63,-63,-62,-62,-62,-62,-63,-62,-63,-62,-61,-62,-62,-63,-61,-62,-62,-61,-63,-63,Human_Walking
-63,-61,-61,-63,-62,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-61,-61,-62,-61,-63,-63,-63,-63,-63,-62,-62,-63,-62,-63,-62,Human_Walking
-62,-62,-63,-62,-62,-63,-63,-63,-63,-62,-63,-62,-62,-63,-63,-63,-63,-63,-63,-63,-62,-62,-63,-63,-61,-61,-62,-61,-63,-62,Human_Walking
-63,-63,-63,-62,-63,-63,-63,-62,-62,-62,-63,-63,-63,-62,-62,-63,-63,-61,-61,-63,-63,-63,-63,-63,-62,-62,-63,-63,-63,-63,Human_Walking
-63,-62,-63,-62,-62,-63,-63,-62,-63,-63,-63,-62,-62,-62,-62,-63,-61,-61,-63,-63,-63,-62,-62,-63,-63,-63,-63,-62,-62,-63,Human_Walking
-63,-63,-62,-63,-63,-63,-63,-63,-63,-62,-63,-63,-62,-62,-63,-63,-63,-61,-63,-63,-62,-61,-62,-61,-62,-61,-61,-61,-63,-61,Human_Walking
-63,-61,-63,-63,-63,-63,-61,-62,-61,-62,-62,-62,-62,-62,-62,-62,-61,-63,-63,-62,-61,-61,-61,-61,-62,-63,-63,-62,-62,-62,Human_Walking
-63,-63,-63,-63,-63,-62,-63,-63,-63,-63,-62,-63,-65,-63,-63,-63,-63,-62,-62,-62,-62,-63,-63,-62,-63,-62,-63,-62,-63,-63,Human_Walking
-63,-63,-62,-63,-63,-63,-63,-63,-62,-63,-63,-61,-61,-61,-61,-61,-61,-63,-63,-63,-62,-62,-63,-63,-63,-63,-64,-63,-63,-64,Human_Walking
-63,-62,-63,-63,-60,-61,-61,-63,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,-63,-63,-62,-62,-63,-63,-63,-63,-62,-62,Human_Walking
-61,-62,-61,-61,-61,-61,-61,-61,-61,-62,-62,-61,-63,-64,-63,-64,-63,-63,-63,-63,-63,-62,-63,-63,-63,-63,-63,-63,-63,-62,Human_Walking
-63,-63,-62,-61,-61,-60,-60,-62,-62,-63,-63,-63,-62,-63,-62,-63,-62,-63,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,-63,-63,Human_Walking
-63,-63,-62,-63,-62,-62,-62,-62,-63,-63,-63,-63,-62,-62,-61,-61,-63,-62,-62,-63,-62,-63,-62,-62,-62,-62,-62,-62,-63,-62,Human_Walking
-62,-62,-62,-63,-63,-62,-61,-62,-62,-61,-62,-62,-61,-62,-61,-62,-61,-61,-63,-62,-62,-62,-62,-62,-62,-62,-63,-63,-63,-63,Human_Walking
-63,-63,-61,-62,-61,-62,-62,-63,-61,-62,-61,-61,-62,-62,-62,-62,-63,-63,-62,-63,-63,-63,-62,-63,-62,-62,-62,-62,-63,-62,Human_Walking
-63,-62,-63,-63,-63,-63,-62,-62,-62,-62,-63,-62,-62,-63,-62,-62,-62,-61,-61,-61,-61,-62,-62,-62,-63,-63,-62,-63,-62,-63,Human_Walking
-62,-62,-62,-62,-63,-65,-65,-65,-64,-64,-65,-66,-61,-64,-64,-64,-64,-64,-64,-64,-64,-66,-62,-65,-62,-65,-65,-66,-62,-62,Human_Walking
-65,-65,-65,-62,-65,-65,-64,-65,-65,-62,-62,-65,-65,-61,-64,-64,-65,-65,-66,-64,-65,-66,-65,-66,-64,-62,-62,-65,-66,-64,Human_Walking
-62,-62,-62,-62,-65,-65,-65,-64,-64,-63,-65,-65,-65,-65,-62,-64,-65,-66,-65,-65,-65,-65,-64,-62,-64,-63,-64,-64,-64,-65,Human_Walking
